id,title,fileType,date,description,name,tags,digital,
gif011,IJN Azuma,gif,15/8/2023,,azazuma,"gif, fanart, azur lane, azuma, IJN, chibi",1,.\public\assets\thumbnails\gifs\azazuma.gif
gif007,MNF Jean Bart Dance,gif,1/5/2022,,azbart,"gif, fanart, azur lane, half, jean bart, MNF",1,.\public\assets\thumbnails\gifs\azbart.gif
gif010,MNF Jean Bart,gif,14/8/2023,,azbart1,"gif, fanart, azur lane, jean bart, MNF, chibi",1,.\public\assets\thumbnails\gifs\azbart1.gif
gif017,KMS Graf Zeppelin (Zeppy),gif,29/3/2023,nyom,azbbzep,"gif, fanart, azur lane, graf zeppelin, KMS, chibi",1,.\public\assets\thumbnails\gifs\azbbzep.gif
gif009,FFNF Champagne,gif,13/8/2023,,azchampange,"gif, fanart, azur lane, champagne, FFNF, chibi",1,.\public\assets\thumbnails\gifs\azchampange.gif
gif015,IJN Mikazuki,gif,4/5/2024,,azmikazuki,"gif, fanart, azur lane, IJN, chibi",1,.\public\assets\thumbnails\gifs\azmikazuki.gif
gif012,SN Murmansk,gif,15/8/2023,,azmurm,"gif, fanart, azur lane, murmansk, SN, chibi",1,.\public\assets\thumbnails\gifs\azmurm.gif
gif021,SN Murmansk,gif,29/4/2022,,azmurm2,"gif, fanart, azur lane, murmansk, SN, half",1,.\public\assets\thumbnails\gifs\azmurm2.gif
gif016,SN Murmansk,gif,4/4/2023,,azmurmspin,"gif, fanart, azur lane, murmansk, SN, chibi",1,.\public\assets\thumbnails\gifs\azmurmspin.gif
gif014,SN Murmansk,gif,16/11/2024,,azmurmwip,"gif, fanart, azur lane, murmansk, SN, chibi",1,.\public\assets\thumbnails\gifs\azmurmwip.gif
gif019,HMS Neptune,gif,16/7/2023,boogiewoogie,azneptune,"gif, fanart, azur lane, HMS, chibi",1,.\public\assets\thumbnails\gifs\azneptune.gif
gif013,RN Pompeo Magno,gif,17/8/2023,,azpom,"gif, fanart, azur lane, pompeo magno, RN, chibi",1,.\public\assets\thumbnails\gifs\azpom.gif
gif008,IJN Suruga,gif,12/8/2023,,azsuruga,"gif, fanart, azur lane, suruga, IJN, chibi",1,.\public\assets\thumbnails\gifs\azsuruga.gif
gif020,IJN Suruga,gif,2/5/2022,achoo,azsuruga2,"gif, fanart, azur lane, suruga, IJN, half",1,.\public\assets\thumbnails\gifs\azsuruga2.gif
gif018,USS Wasp,gif,29/9/2023,zip up!,azwasp,"gif, fanart, azur lane, USS, chibi",1,.\public\assets\thumbnails\gifs\azwasp.gif
gif023,Beki Cursor Set,gif,0/3/2023,,bekimouse,"gif, cursor",1,.\public\assets\thumbnails\gifs\bekimouse.gif
gif000,Spinning Croissant,gif,0/0/2017,"A little animation I did while doing an uni assignment about drawing croissants. Yeh you read that right. We had to scan that mf, had a photosession with it in a professional photo setting (even I have not had the luxury of such sessions >:(  hmmph), photoshop them, and THEN draw them out. You can read the whole process in details on my website, in my about page :D ",bun,gif,1,.\public\assets\thumbnails\gifs\bun.gif
gif001,Double spin!,gif,0/0/2017,The background of my website that could be found in my about page. I really had fun and that’s all that matters :),bunbun,gif,1,.\public\assets\thumbnails\gifs\bunbun.gif
gif002,Lights out!,gif,31/8/2022,,candle,"gif, chrystanthemum",1,.\public\assets\thumbnails\gifs\candle.gif
gif006,Karma,gif,16/4/2023,"tried to clip a clip on my dog, did not end up well.",fuclip,"gif, comic",1,.\public\assets\thumbnails\gifs\fuclip.gif
gif005,gabi won the squid hat!,gif,6/7/2025,,gabi3,"gif, oc, gabi, stardew",1,.\public\assets\thumbnails\gifs\gabi3.gif
gif003,(Commission)Ots-14 Groza,gif,2/7/2022,,gorza_comm,"gif, fanart, girl's frontline",1,.\public\assets\thumbnails\gifs\gorza_comm.gif
gif004,Azur Lane Murmansk Cursor Set,gif,10/8/2022,,murm_mouse,"gif, fanart, azur lane, murmansk, SN, curspr",1,.\public\assets\thumbnails\gifs\murm_mouse.gif
gif022,Pramanix,gif,27/3/2022,,pragif,"gif, fanart, arknights, half",1,.\public\assets\thumbnails\gifs\pragif.gif
