id,title,fileType,date,description,name,tags,digital,thumbPath
az130,azur365 2023 Day 130,png,10/5/2023,HMS Queen Elizabeth,130_queen_elizabeth,"azur365, fanart, azur lane, chibi, HMS",1,.\public\assets\thumbnails\azur365\130_queen_elizabeth.jpg
az131,azur365 2023 Day 131,png,11/5/2023,USS Saratoga,131_saratoga,"azur365, fanart, azur lane, chibi, USS",1,.\public\assets\thumbnails\azur365\131_saratoga.jpg
az132,azur365 2023 Day 132,png,12/5/2023,KMS U73,132_u73,"azur365, fanart, azur lane, chibi, KMS",1,.\public\assets\thumbnails\azur365\132_u73.jpg
az133,azur365 2023 Day 133,png,13/5/2023,KMS U556,133_u556,"azur365, fanart, azur lane, chibi, KMS",1,.\public\assets\thumbnails\azur365\133_u556.jpg
az134,azur365 2023 Day 134,png,14/5/2023,HMS Echo,134_echo,"azur365, fanart, azur lane, chibi, HMS",1,.\public\assets\thumbnails\azur365\134_echo.jpg
az135,azur365 2023 Day 135,png,15/5/2023,KMS Z36,135_z36,"azur365, fanart, azur lane, chibi, KMS",1,.\public\assets\thumbnails\azur365\135_z36.jpg
az136,azur365 2023 Day 136,png,16/5/2023,HMS King George V,136_king_george_v,"azur365, fanart, azur lane, chibi, HMS",1,.\public\assets\thumbnails\azur365\136_king_george_v.jpg
az137,azur365 2023 Day 137,png,17/5/2023,KMS Bismark,137_bismark,"azur365, fanart, azur lane, chibi, KMS",1,.\public\assets\thumbnails\azur365\137_bismark.jpg
az138,azur365 2023 Day 138,png,18/5/2023,IJN Hatsushimo,138_hatsushimo,"azur365, fanart, azur lane, chibi, IJN",1,.\public\assets\thumbnails\azur365\138_hatsushimo.jpg
az139,azur365 2023 Day 139,png,19/5/2023,USS Eldridge,139_eldridge,"azur365, fanart, azur lane, chibi, USS",1,.\public\assets\thumbnails\azur365\139_eldridge.jpg
az140,azur365 2023 Day 140,png,20/5/2023,USS Laffey,140_laffey,"azur365, fanart, azur lane, chibi, USS",1,.\public\assets\thumbnails\azur365\140_laffey.jpg
az141,azur365 2023 Day 141,png,21/5/2023,KMS Gneisenau,141_gneisenau,"azur365, fanart, azur lane, chibi, KMS",1,.\public\assets\thumbnails\azur365\141_gneisenau.jpg
az142,azur365 2023 Day 142,png,22/5/2023,IJN Kirishima,142_kirishima,"azur365, fanart, azur lane, chibi, IJN",1,.\public\assets\thumbnails\azur365\142_kirishima.jpg
az143,azur365 2023 Day 143,png,23/5/2023,USS Albacore,143_albacore,"azur365, fanart, azur lane, chibi, USS",1,.\public\assets\thumbnails\azur365\143_albacore.jpg
az144,azur365 2023 Day 144,png,24/5/2023,IJN Nagara,144_nagara,"azur365, fanart, azur lane, chibi, IJN",1,.\public\assets\thumbnails\azur365\144_nagara.jpg
az145,azur365 2023 Day 145,png,25/5/2023,HMS Hood,145_hood,"azur365, fanart, azur lane, chibi, HMS",1,.\public\assets\thumbnails\azur365\145_hood.jpg
az146,azur365 2023 Day 146,png,26/5/2023,IJN Atago,146_atago,"azur365, fanart, azur lane, chibi, IJN",1,.\public\assets\thumbnails\azur365\146_atago.jpg
az147,azur365 2023 Day 147,png,27/5/2023,IJN Akashi,147_akashi,"azur365, fanart, azur lane, chibi, IJN",1,.\public\assets\thumbnails\azur365\147_akashi.jpg
az148,azur365 2023 Day 148,png,28/5/2023,IJN I19,148_i19,"azur365, fanart, azur lane, chibi, IJN",1,.\public\assets\thumbnails\azur365\148_i19.jpg
az149,azur365 2023 Day 149,png,29/5/2023,SN Avrora,149_avrora,"azur365, fanart, azur lane, chibi, SN",1,.\public\assets\thumbnails\azur365\149_avrora.jpg
az150,azur365 2023 Day 150,png,30/5/2023,KMS Scharnhorst,150_scharnhorst,"azur365, fanart, azur lane, chibi, KMS",1,.\public\assets\thumbnails\azur365\150_scharnhorst.jpg
az151,azur365 2023 Day 151,png,31/5/2023,IJN I26,151_i26,"azur365, fanart, azur lane, chibi, IJN",1,.\public\assets\thumbnails\azur365\151_i26.jpg
az152,azur365 2023 Day 152,png,1/6/2023,KMS Z23,152_z23,"azur365, fanart, azur lane, chibi, KMS",1,.\public\assets\thumbnails\azur365\152_z23.jpg
az153,azur365 2023 Day 153,png,2/6/2023,USS Dace,153_dace,"azur365, fanart, azur lane, chibi, USS",1,.\public\assets\thumbnails\azur365\153_dace.jpg
